analysis_id,363fqtjs6s81836
gene_accession_id,MGI:95576
pvalue,0.4073723
mouse_strain,C57BL
parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
mouse_life_stage,Early adult
gene_symbol,Fpgs
