parameter_name,ST
mouse_strain,C57BL
gene_symbol,Bpifa3
analysis_id,qrfz842x3tiqa2y
parameter_id,IMPC_ECG_008_001
pvalue,0.620622
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
