analysis_id,y68vzq67083v75j
parameter_name,Latency to first transition into dark
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.7489177
parameter_id,IMPC_LDT_006_001
gene_symbol,Bmi1
