gene_symbol,Il1r1
gene_accession_id,MGI:96545
analysis_id,tm6p5t2x9ccezri
mouse_strain,C57BL
parameter_id,JAXLA_CSD_023_001
parameter_name,Vibrissae - presence
mouse_life_stage,Early adult
pvalue,0.3625277
