analysis_id,l62e38u88jd3c24
pvalue,0.3759176
mouse_strain,C57BL
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Late adult
gene_symbol,Hpca
parameter_name,Vibrissae - presence
gene_accession_id,MGI:1336200
