analysis_id,06kh9240neb8mfw
mouse_strain,C57BL
parameter_name,Iron
parameter_id,IMPC_CBC_011_001
pvalue,0.1722192
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
gene_symbol,Rab13
