analysis_id,sd89q314y8e02e8
parameter_name,Periphery resting time
parameter_id,HRWLLA_OFD_011_001
pvalue,0.5858244
gene_symbol,Gfi1b
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
mouse_strain,C57BL
