gene_symbol,S100a3
pvalue,0.9012399
mouse_strain,C57BL
analysis_id,0y43d2zs0737z2x
gene_accession_id,MGI:1338849
parameter_name,Head morphology
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
