analysis_id,4a7o3x3r2sjahj2
parameter_name,Mean platelet volume
mouse_life_stage,Early adult
gene_symbol,Trpa1
parameter_id,IMPC_HEM_019_001
gene_accession_id,MGI:3522699
pvalue,0.824128
mouse_strain,C57BL
