parameter_name,Tremor
analysis_id,tsu315w2mx3614p
gene_symbol,Atg4c
mouse_life_stage,Early adult
pvalue,0.2711749
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:2651854
