parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:2446274
mouse_strain,C57BL
analysis_id,n91e4yoetj5cxi9
pvalue,0.5084149
parameter_name,Glucose response AUC
mouse_life_stage,Late adult
gene_symbol,Frmpd1
