gene_symbol,Zcchc2
mouse_strain,C57BL
analysis_id,o943r601e8jv62w
pvalue,0.8624166
mouse_life_stage,Early adult
parameter_name,IgD+ mature B cell percentage
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:2444114
