analysis_id,277s9b333am8k2p
parameter_id,IMPC_ABR_006_001
gene_symbol,Slc30a4
parameter_name,12kHz-evoked ABR Threshold
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
pvalue,0.9082082
