analysis_id,uv17i6l1st6q691
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_symbol,Secisbp2l
pvalue,0.8807032
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_094_001
gene_accession_id,MGI:1917604
