analysis_id,74863fj0c9tp4o9
parameter_name,Alkaline phosphatase
gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HRWLLA_CBC_014_001
pvalue,0.7541307
