parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1927232
parameter_name,Body Weight
analysis_id,3tt35lvnxh4y195
pvalue,0.4385442
gene_symbol,Rab13
mouse_strain,C57BL
mouse_life_stage,Early adult
