parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,Cleft palate
pvalue,0.6636799
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
analysis_id,sr455d3g913980p
