parameter_name,Magnesium
analysis_id,u938d06zezu44lf
gene_symbol,Amigo1
pvalue,0.609241
parameter_id,M-G-P_025_001_030
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
mouse_strain,C57BL
