gene_symbol,Zc2hc1a
parameter_name,HR
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,8o7maycrwh32n57
pvalue,0.8702127
parameter_id,JAXLA_ECG_002_001
gene_accession_id,MGI:1914556
