analysis_id,u142hjoy4bjf8je
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
pvalue,0.2226328
gene_symbol,Slc30a4
parameter_name,Total ab T cells - % of CD45+
