parameter_id,JAXLA_GRS_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Pum1
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.8694639
analysis_id,59s8z2f8769qz24
gene_accession_id,MGI:1931749
