mouse_life_stage,Late adult
parameter_name,Vibrissae - presence
pvalue,0.6121915
gene_accession_id,MGI:2441730
parameter_id,JAXLA_CSD_023_001
mouse_strain,C57BL
gene_symbol,Tbl1xr1
analysis_id,g2q34996vokv441
