parameter_name,Magnesium
pvalue,0.9401249
mouse_life_stage,E12.5
analysis_id,q3l53m41385dm7o
mouse_strain,C57BL
gene_accession_id,MGI:95457
parameter_id,M-G-P_025_001_030
gene_symbol,Mecom
