analysis_id,hsyvh7vmo9nk1zx
gene_symbol,Snap23
parameter_id,IMPC_CSD_011_001
mouse_strain,C57BL
pvalue,0.7122394
gene_accession_id,MGI:109356
parameter_name,Coat - hair distribution - back
mouse_life_stage,Early adult
