parameter_name,Whole arena average speed
pvalue,0.7787686
analysis_id,ee5a469fn89j181
gene_symbol,Bcs1l
mouse_life_stage,E12.5
parameter_id,JAXLA_OFD_009_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
