analysis_id,34997mk2p10859q
parameter_id,IMPC_GEL_057_001
parameter_name,Heart looping
pvalue,0.9007501
gene_accession_id,MGI:1328306
gene_symbol,Orc2
mouse_life_stage,E9.5
mouse_strain,C57BL
