gene_symbol,Usp37
parameter_name,Eosinophil number
mouse_strain,C57BL
analysis_id,p73p5088j3dm9v1
pvalue,0.8627904
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
parameter_id,MGP_PBI_040_001
