gene_symbol,Exd1
gene_accession_id,MGI:3045306
analysis_id,rfl37hbx8sik044
pvalue,0.5185562
parameter_name,Center resting time
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_015_001
