analysis_id,98su3c0182ao077
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_id,MGP_PBI_002_001
pvalue,0.4195
gene_symbol,Tiprl
mouse_life_stage,E9.5
