parameter_id,TCPLA_CSD_030_001
pvalue,0.3671563
gene_accession_id,MGI:2670995
parameter_name,Tremor
analysis_id,7upwbc28qm6c4l3
mouse_life_stage,Early adult
gene_symbol,Trp53i11
mouse_strain,C57BL
