parameter_name,Coat colouration
gene_accession_id,MGI:96757
pvalue,0.8875143
mouse_life_stage,Early adult
gene_symbol,Lcn2
parameter_id,M-G-P_026_001_004
mouse_strain,C57BL
analysis_id,9j2b4m0860x441i
