analysis_id,oh0ti2036tab7b0
gene_accession_id,MGI:1915678
gene_symbol,Steap3
pvalue,0.6426779
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
