analysis_id,aj7da26i66hc5s4
gene_accession_id,MGI:3026886
parameter_id,IMPC_CSD_051_002
pvalue,0.638361
gene_symbol,Cdin1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
