parameter_name,Placenta Size
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
pvalue,0.6697687
analysis_id,07yr4l4y16u0y7s
gene_symbol,Ints7
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
