parameter_name,Creatinine
analysis_id,9mm3671lr4a60pi
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
gene_symbol,Opn3
pvalue,0.06804404
mouse_strain,C57BL
