parameter_name,30kHz-evoked ABR Threshold
mouse_life_stage,E9.5
pvalue,1.419665
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_id,IMPC_ABR_012_001
analysis_id,4282t762e1sbb16
mouse_strain,C57BL
