gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.9700201
analysis_id,4j987e427uy39j8
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
