parameter_id,IMPC_IPG_011_001
analysis_id,4mmp806771x87m0
pvalue,0.21107
parameter_name,Initial response to glucose challenge
mouse_strain,C57BL
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
gene_symbol,Golm2
