parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
mouse_strain,129SV
pvalue,0.5850064
gene_symbol,Zmynd8
mouse_life_stage,Early adult
analysis_id,zs92r48s7r3tjhj
gene_accession_id,MGI:1918025
