parameter_name,Lymphocyte differential count
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
analysis_id,h7z8x62bw5r4w7y
pvalue,0.4316387
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_031_001
