analysis_id,s78253zk3jhm0qq
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
pvalue,0.156649
mouse_strain,C57BL
parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
gene_symbol,Tatdn3
