parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
analysis_id,48yi7wa1s550y67
pvalue,0.4341403
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
parameter_name,Respiration Rate
mouse_strain,C57BL
