parameter_name,Fractional Shortening
gene_accession_id,MGI:1328306
pvalue,0.07740034
mouse_life_stage,E9.5
parameter_id,IMPC_ECH_005_001
gene_symbol,Orc2
analysis_id,90b2h8s9076x8mn
mouse_strain,C57BL
