gene_symbol,Cd52
parameter_name,Heart weight
pvalue,0.6679018
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HWT_008_001
analysis_id,34rc6o3m74565vu
