gene_symbol,Rab22a
pvalue,0.2381782
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,oot4p6q1i7o1u5z
parameter_id,IMPC_EYE_001_001
parameter_name,Eye
gene_accession_id,MGI:105072
