parameter_id,IMPC_GPO_002_001
analysis_id,ry51zg7415e0f8t
parameter_name,Placenta Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
mouse_strain,C57BL
pvalue,0.4593161
gene_symbol,Steap3
