parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
pvalue,0.9612085
mouse_life_stage,Early adult
analysis_id,1n990x0g99ni5ca
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
