gene_symbol,Dnajc8
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
mouse_life_stage,Early adult
pvalue,0.1635694
gene_accession_id,MGI:1915848
analysis_id,you0258z5pdibu2
parameter_id,MGP_PBI_002_001
