analysis_id,0g783465q24o7k6
gene_symbol,Nipal3
mouse_strain,129SV
pvalue,0.8855395
mouse_life_stage,Early adult
parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
gene_accession_id,MGI:1921802
