gene_symbol,Zcchc2
parameter_id,IMPC_GEL_011_001
mouse_strain,C57BL
analysis_id,43q122l6el1n877
gene_accession_id,MGI:2444114
pvalue,0.3872177
parameter_name,Embryo turning
mouse_life_stage,Early adult
