gene_symbol,Snrpb2
parameter_id,TCPLA_XRY_033_001
pvalue,0.8725344
gene_accession_id,MGI:104805
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,aq2s356g5406885
parameter_name,Tibia length
