gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_id,HMGULA_CBC_005_001
analysis_id,n5ugjq0sn1xy3h5
pvalue,0.7625305
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Creatinine
