parameter_name,LVIDd
pvalue,0.6137867
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913396
analysis_id,bny1t5477vk0o49
gene_symbol,Maco1
parameter_id,IMPC_ECH_008_001
