analysis_id,5890563hr9n9330
pvalue,0.3857157
parameter_name,Creatinine
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
mouse_strain,C57BL
parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
