parameter_name,Thoracic processes
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
parameter_id,IMPC_XRY_064_001
gene_symbol,Snap23
pvalue,0.9962527
mouse_strain,C57BL
analysis_id,7017fso9wf11g70
