parameter_name,Snout morphology
pvalue,0.07124769
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
parameter_id,MGP_CSD_066_001
gene_symbol,Mapkap1
mouse_strain,C57BL
analysis_id,9k33u99n876v68p
