analysis_id,33yytmnl48ce433
gene_accession_id,MGI:1914309
parameter_id,IMPC_IMM_069_001
parameter_name,Transitional B Cells (CD21/35 low)
pvalue,0.9622929
mouse_life_stage,E18.5
gene_symbol,Ola1
mouse_strain,C57BL
