analysis_id,o3vl1kbk18a6713
parameter_name,center - distance
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:1919935
mouse_strain,C57BL
pvalue,0.9351336
gene_symbol,Dnajc6
