analysis_id,e655922tp3056z4
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:99501
pvalue,0.6462886
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Fgb
