analysis_id,154876rx13k28ll
parameter_name,B Cells
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
pvalue,0.2610653
