parameter_name,Tibia length
pvalue,0.1436199
analysis_id,grw05w20004z384
parameter_id,IMPC_XRY_033_001
mouse_life_stage,E12.5
gene_symbol,Ahcy
gene_accession_id,MGI:87968
mouse_strain,C57BL
