analysis_id,0nxg73l6zf5g6r6
mouse_life_stage,E12.5
gene_symbol,Eprs1
parameter_name,Red blood cell count
mouse_strain,C55BL
parameter_id,ESLIM_016_001_002
pvalue,0.3874165
gene_accession_id,MGI:97838
