gene_symbol,Trim46
gene_accession_id,MGI:2673000
mouse_strain,C57BL
pvalue,0.06195015
parameter_name,30kHz-evoked ABR Threshold
analysis_id,718wzd9l7k4ur37
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_012_001
