parameter_id,IMPC_ECG_008_001
parameter_name,ST
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
gene_symbol,Amigo1
mouse_strain,C57BL
pvalue,0.6469282
analysis_id,1hl5xg07nm842r0
